Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
1    	103689.0               	23502.0        	0.7                	3930.0           	1.0
2    	94231.0                	21164.0        	0.4685             	4417.0           	0.978
3    	38696.0                	21610.0        	0.856              	3162.0           	1.0
4    	49660.0                	22238.0        	0.8095             	3714.0           	1.0
5    	84025.0                	24738.0        	0.732              	3663.0           	1.0
6    	126345.0               	23887.0        	0.673              	3461.0           	1.0
7    	67730.0                	19407.0        	0.298              	8688.0           	0.901
8    	97653.0                	22626.0        	0.708              	2812.0           	1.0
9    	38984.0                	21146.0        	0.844              	3647.0           	1.0
10   	75505.0                	22965.0        	0.749              	3219.0           	1.0
