Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	40126.0	23154.0	0.87	3674.0	1.0
2	33960.0	21516.0	0.8955	3042.0	1.0
3	32348.0	20924.0	0.9015	2976.0	1.0
4	43356.0	21279.0	0.838	3091.0	1.0
5	41435.0	22418.0	0.865	2866.0	1.0
6	33030.0	20528.0	0.881	3043.0	1.0
7	41076.0	20690.0	0.846	2956.0	1.0
8	59926.0	22428.0	0.784	3076.0	1.0
9	34605.0	22663.0	0.9015	3061.0	1.0
10	49810.0	22330.0	0.826	2846.0	1.0
11	38632.0	21373.0	0.865	2860.0	1.0
12	38053.0	21989.0	0.874	2911.0	1.0
13	40755.0	22023.0	0.857	3022.0	1.0
14	39322.0	21482.0	0.8645	3085.0	1.0
15	62510.0	24062.0	0.7885	3032.0	1.0
16	38507.0	20918.0	0.857	2982.0	1.0
17	34044.0	20515.0	0.871	3024.0	1.0
18	52674.0	23192.0	0.8175	2952.0	1.0
19	44480.0	22398.0	0.845	2904.0	1.0
20	43418.0	20660.0	0.8385	3063.0	1.0
21	70508.0	21487.0	0.7525	2984.0	1.0
22	76820.0	22724.0	0.7515	3186.0	1.0
23	30554.0	21072.0	0.9105	3226.0	1.0
24	48649.0	22153.0	0.8265	2895.0	1.0
25	43196.0	21491.0	0.8375	2894.0	1.0
26	54690.0	22893.0	0.798	3538.0	1.0
27	42591.0	22350.0	0.8505	3092.0	1.0
28	45349.0	23453.0	0.8435	3182.0	1.0
29	33803.0	20838.0	0.887	2791.0	1.0
30	34019.0	20896.0	0.8845	3020.0	1.0
31	38640.0	20800.0	0.853	2985.0	1.0
32	31025.0	20843.0	0.901	3164.0	1.0
33	37158.0	21170.0	0.8635	3064.0	1.0
34	31500.0	21444.0	0.915	3047.0	1.0
35	66231.0	22264.0	0.7765	3051.0	1.0
36	41541.0	21661.0	0.8495	2908.0	1.0
37	35460.0	21715.0	0.885	3252.0	1.0
38	47640.0	22061.0	0.83	3033.0	1.0
39	44609.0	21767.0	0.8455	2902.0	1.0
40	33590.0	20404.0	0.886	2875.0	1.0
41	69295.0	22794.0	0.7685	2982.0	1.0
42	67083.0	23638.0	0.7735	2952.0	1.0
43	47353.0	22445.0	0.8385	2987.0	1.0
44	38693.0	21942.0	0.863	3030.0	1.0
45	30945.0	19794.0	0.8885	2994.0	1.0
46	53882.0	23301.0	0.817	3047.0	1.0
47	63055.0	23931.0	0.7865	3080.0	1.0
48	32187.0	19881.0	0.886	3072.0	1.0
49	34441.0	21154.0	0.8925	3117.0	1.0
50	43637.0	21844.0	0.843	3101.0	1.0
51	48468.0	21729.0	0.832	2825.0	1.0
52	45150.0	22903.0	0.8375	3382.0	1.0
53	140723.0	22448.0	0.654	3368.0	1.0
54	32973.0	21372.0	0.893	3068.0	1.0
55	37977.0	21229.0	0.868	2982.0	1.0
56	41038.0	21801.0	0.8545	3122.0	1.0
57	34460.0	21386.0	0.8855	3093.0	1.0
58	53567.0	21766.0	0.7975	2794.0	1.0
59	38824.0	21605.0	0.864	3022.0	1.0
60	38775.0	20224.0	0.841	3048.0	1.0
61	41315.0	22451.0	0.853	3051.0	1.0
62	36323.0	20519.0	0.8635	3156.0	1.0
63	36866.0	20898.0	0.8715	3087.0	1.0
64	37970.0	21391.0	0.8625	2898.0	1.0
65	39137.0	22376.0	0.869	3226.0	1.0
66	32941.0	21490.0	0.905	3071.0	1.0
67	42266.0	21478.0	0.8545	2765.0	1.0
68	33489.0	20709.0	0.8895	2885.0	1.0
69	39293.0	22403.0	0.8645	3047.0	1.0
70	38428.0	21510.0	0.867	3152.0	1.0
71	41980.0	21503.0	0.853	2843.0	1.0
72	31069.0	21446.0	0.901	3262.0	1.0
73	35991.0	21821.0	0.886	3144.0	1.0
74	30741.0	20736.0	0.905	3161.0	1.0
75	64138.0	22378.0	0.7795	3091.0	1.0
76	45391.0	21180.0	0.8255	3148.0	1.0
77	37531.0	22032.0	0.8715	3038.0	1.0
78	35981.0	19632.0	0.859	2773.0	1.0
79	44278.0	22753.0	0.849	3164.0	1.0
80	40106.0	21581.0	0.8625	2844.0	1.0
81	38127.0	19691.0	0.838	2979.0	1.0
82	104253.0	25201.0	0.5785	5164.0	1.0
83	44718.0	21563.0	0.841	2794.0	1.0
84	35194.0	21219.0	0.8765	3009.0	1.0
85	34777.0	22028.0	0.8935	3172.0	1.0
86	35296.0	21361.0	0.8855	2972.0	1.0
87	37245.0	21735.0	0.865	3141.0	1.0
88	35920.0	21392.0	0.8705	2971.0	1.0
89	37757.0	21176.0	0.8675	2801.0	1.0
90	41499.0	21545.0	0.859	2928.0	1.0
91	34748.0	20888.0	0.885	2686.0	1.0
92	30859.0	20313.0	0.896	2984.0	1.0
93	33557.0	21425.0	0.894	2960.0	1.0
94	41235.0	21233.0	0.8505	3021.0	1.0
95	34907.0	22235.0	0.892	3151.0	1.0
96	46407.0	22113.0	0.8335	2870.0	1.0
97	47406.0	21614.0	0.825	3058.0	1.0
98	31412.0	21022.0	0.8975	3212.0	1.0
99	63630.0	22853.0	0.7795	3078.0	1.0
100	51007.0	23243.0	0.8245	3012.0	1.0
101	46364.0	22162.0	0.8285	2931.0	1.0
102	47309.0	21773.0	0.822	3123.0	1.0
103	41117.0	22031.0	0.862	2727.0	1.0
104	39908.0	21539.0	0.855	2963.0	1.0
105	41381.0	20944.0	0.838	3208.0	1.0
106	38251.0	20875.0	0.8655	2959.0	1.0
107	38012.0	21177.0	0.8685	2736.0	1.0
108	35668.0	22044.0	0.88	3168.0	1.0
109	29355.0	20618.0	0.916	3057.0	1.0
110	35590.0	19877.0	0.8495	3140.0	1.0
111	60193.0	21724.0	0.784	3109.0	1.0
112	48075.0	23048.0	0.838	3171.0	1.0
113	62852.0	22904.0	0.78	2909.0	1.0
114	39430.0	22401.0	0.8775	2925.0	1.0
115	32981.0	21123.0	0.8975	2970.0	1.0
116	50467.0	23220.0	0.826	2979.0	1.0
117	44369.0	21925.0	0.835	2865.0	1.0
118	49266.0	23380.0	0.838	3018.0	1.0
119	31601.0	20467.0	0.886	3361.0	1.0
120	41327.0	21248.0	0.8425	3062.0	1.0
121	92458.0	23405.0	0.724	3154.0	1.0
122	46211.0	21059.0	0.813	3329.0	1.0
123	35392.0	21836.0	0.896	2745.0	1.0
124	43117.0	22666.0	0.8535	2890.0	1.0
125	39674.0	21737.0	0.863	2965.0	1.0
126	56920.0	23603.0	0.8055	3180.0	1.0
127	58323.0	23867.0	0.812	2930.0	1.0
128	48578.0	19929.0	0.8005	3192.0	1.0
129	49373.0	23191.0	0.8335	2938.0	1.0
130	43743.0	22529.0	0.843	3142.0	1.0
131	50989.0	22512.0	0.8225	3050.0	1.0
132	60696.0	21667.0	0.7735	3169.0	1.0
133	30185.0	20218.0	0.9075	2900.0	1.0
134	34602.0	21734.0	0.892	3096.0	1.0
135	57698.0	22368.0	0.8025	2977.0	1.0
136	38835.0	21606.0	0.8665	3066.0	1.0
137	63062.0	23095.0	0.7805	3084.0	1.0
138	42178.0	22158.0	0.852	2827.0	1.0
139	34761.0	20928.0	0.8865	2800.0	1.0
140	61623.0	20522.0	0.7725	2816.0	1.0
141	60254.0	24287.0	0.7925	2968.0	1.0
142	57892.0	21570.0	0.793	2909.0	1.0
143	36063.0	21960.0	0.884	3021.0	1.0
144	33413.0	21099.0	0.8955	2946.0	1.0
145	36034.0	21241.0	0.8755	2977.0	1.0
146	36179.0	20997.0	0.872	3144.0	1.0
147	45141.0	21321.0	0.8325	2810.0	1.0
148	54026.0	22352.0	0.82	2911.0	1.0
149	70837.0	23477.0	0.7675	2991.0	1.0
150	68142.0	22658.0	0.764	2926.0	1.0
151	35188.0	21446.0	0.888	2867.0	1.0
152	54168.0	22346.0	0.8135	2972.0	1.0
153	37433.0	22473.0	0.877	3241.0	1.0
154	40392.0	19901.0	0.846	2731.0	1.0
155	42832.0	22285.0	0.851	2840.0	1.0
156	47706.0	23438.0	0.832	3096.0	1.0
157	35384.0	21665.0	0.877	3205.0	1.0
158	28972.0	20467.0	0.9155	3068.0	1.0
159	42624.0	22826.0	0.8585	3139.0	1.0
160	52540.0	21879.0	0.8095	2946.0	1.0
161	61855.0	21699.0	0.759	3213.0	1.0
162	32634.0	20191.0	0.8885	2761.0	1.0
163	36203.0	20900.0	0.8745	3023.0	1.0
164	33292.0	20569.0	0.8875	2989.0	1.0
165	40142.0	21567.0	0.8485	3088.0	1.0
166	40244.0	21263.0	0.846	2984.0	1.0
167	33049.0	21471.0	0.8895	3141.0	1.0
168	40384.0	20845.0	0.851	3145.0	1.0
169	34722.0	20424.0	0.875	2830.0	1.0
170	28926.0	20545.0	0.922	2895.0	1.0
171	40740.0	22296.0	0.858	3027.0	1.0
172	32449.0	20766.0	0.8935	3131.0	1.0
173	40863.0	21732.0	0.8535	3182.0	1.0
174	50123.0	22062.0	0.8265	2899.0	1.0
175	71421.0	23009.0	0.757	3231.0	1.0
176	40118.0	21051.0	0.8455	3015.0	1.0
177	39265.0	21082.0	0.862	3042.0	1.0
178	88523.0	24066.0	0.727	3268.0	1.0
179	37597.0	20359.0	0.8575	2783.0	1.0
180	49668.0	22834.0	0.834	2872.0	1.0
181	47288.0	22156.0	0.831	3227.0	1.0
182	33633.0	20328.0	0.876	2830.0	1.0
183	32164.0	20418.0	0.8915	3049.0	1.0
184	37279.0	21399.0	0.867	2901.0	1.0
185	33672.0	20601.0	0.885	3004.0	1.0
186	40871.0	22781.0	0.861	3289.0	1.0
187	73968.0	22610.0	0.7545	2914.0	1.0
188	35938.0	21635.0	0.882	2851.0	1.0
189	46103.0	23030.0	0.83	2975.0	1.0
190	81583.0	23345.0	0.744	2818.0	1.0
191	48385.0	22348.0	0.8335	2891.0	1.0
192	44443.0	22136.0	0.8385	2817.0	1.0
193	32050.0	20209.0	0.8845	3118.0	1.0
194	54655.0	23126.0	0.8125	2995.0	1.0
195	36474.0	21628.0	0.8775	2975.0	1.0
196	49018.0	21686.0	0.821	2735.0	1.0
197	34925.0	21413.0	0.885	2959.0	1.0
198	44051.0	22509.0	0.842	3027.0	1.0
199	78655.0	18538.0	0.705	3341.0	1.0
200	49998.0	22414.0	0.81	3292.0	1.0
201	35845.0	21588.0	0.872	2969.0	1.0
202	47827.0	21888.0	0.826	2972.0	1.0
203	105755.0	21753.0	0.6895	3286.0	1.0
204	38882.0	21784.0	0.8655	2985.0	1.0
205	33050.0	20475.0	0.8885	2868.0	1.0
206	32439.0	20365.0	0.881	3093.0	1.0
207	35769.0	22071.0	0.8915	2937.0	1.0
208	35705.0	21632.0	0.883	2943.0	1.0
209	50850.0	22645.0	0.814	3066.0	1.0
210	36741.0	21320.0	0.8755	3015.0	1.0
211	35831.0	22083.0	0.8785	3121.0	1.0
212	34062.0	21177.0	0.8955	2926.0	1.0
213	41361.0	20868.0	0.8435	2985.0	1.0
214	45968.0	21899.0	0.8355	3003.0	1.0
215	35223.0	20472.0	0.873	3066.0	1.0
216	62620.0	23006.0	0.789	2925.0	1.0
217	36597.0	21348.0	0.8715	3022.0	1.0
218	62982.0	23390.0	0.773	3251.0	1.0
219	36218.0	21009.0	0.873	3019.0	1.0
220	46885.0	22351.0	0.831	2935.0	1.0
221	43716.0	21675.0	0.8405	3208.0	1.0
222	50491.0	22084.0	0.816	3240.0	1.0
223	36921.0	20470.0	0.8635	3109.0	1.0
224	42789.0	22339.0	0.8505	3000.0	1.0
225	49713.0	23161.0	0.8315	2793.0	1.0
226	31555.0	19553.0	0.876	2990.0	1.0
227	34087.0	21182.0	0.8885	2867.0	1.0
228	65786.0	22855.0	0.7875	2837.0	1.0
229	54661.0	23795.0	0.827	3138.0	1.0
230	41024.0	22220.0	0.855	3279.0	1.0
231	39138.0	21679.0	0.8615	2821.0	1.0
232	77045.0	23267.0	0.752	2955.0	1.0
233	34479.0	21116.0	0.872	3331.0	1.0
234	64568.0	20959.0	0.7535	3080.0	1.0
235	42772.0	21607.0	0.8405	3033.0	1.0
236	29192.0	19562.0	0.8975	2773.0	1.0
237	66096.0	22814.0	0.769	3208.0	1.0
238	41739.0	21802.0	0.852	3044.0	1.0
239	85967.0	23642.0	0.735	2918.0	1.0
240	34001.0	21043.0	0.8865	3088.0	1.0
241	37935.0	20687.0	0.8545	3047.0	1.0
242	34486.0	20081.0	0.8695	3019.0	1.0
243	32363.0	20154.0	0.892	3007.0	1.0
244	28496.0	20635.0	0.9235	3119.0	1.0
245	34427.0	21170.0	0.8825	2976.0	1.0
246	44208.0	21012.0	0.829	3032.0	1.0
247	33407.0	21442.0	0.896	2884.0	1.0
248	63901.0	22572.0	0.7735	3171.0	1.0
249	33100.0	20117.0	0.8815	3015.0	1.0
250	49512.0	22207.0	0.826	2914.0	1.0
251	31397.0	20402.0	0.897	2969.0	1.0
252	73292.0	24347.0	0.771	3056.0	1.0
253	45453.0	21872.0	0.8315	3265.0	1.0
254	41940.0	20507.0	0.8385	2979.0	1.0
255	28497.0	20651.0	0.92	3187.0	1.0
256	42428.0	23109.0	0.854	2939.0	1.0
