Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	35176.0	21988.0	0.882	3241.0	1.0
1	76902.0	23686.0	0.7545	2992.0	1.0
2	62348.0	21685.0	0.7755	2822.0	1.0
3	48384.0	21089.0	0.81	2922.0	1.0
4	47068.0	21509.0	0.8235	2834.0	1.0
5	51045.0	22444.0	0.8165	2910.0	1.0
6	36838.0	21784.0	0.877	3221.0	1.0
7	35809.0	20883.0	0.8715	2871.0	1.0
8	48790.0	22960.0	0.8265	2870.0	1.0
9	35599.0	20334.0	0.874	2647.0	1.0
10	52781.0	22104.0	0.818	2828.0	1.0
11	37986.0	22368.0	0.873	3187.0	1.0
12	38175.0	22191.0	0.873	2953.0	1.0
13	41639.0	21982.0	0.8595	2897.0	1.0
14	41462.0	22584.0	0.8625	2994.0	1.0
15	50925.0	22413.0	0.8215	2973.0	1.0
16	48183.0	22547.0	0.8305	2864.0	1.0
17	40143.0	21274.0	0.855	3032.0	1.0
18	45059.0	22784.0	0.849	3129.0	1.0
19	60743.0	22574.0	0.7915	2979.0	1.0
20	44337.0	21420.0	0.837	2893.0	1.0
21	36251.0	21667.0	0.8785	3295.0	1.0
22	40827.0	21383.0	0.863	2741.0	1.0
23	52879.0	21809.0	0.8085	2920.0	1.0
24	45344.0	21525.0	0.838	2773.0	1.0
25	38681.0	21457.0	0.87	2920.0	1.0
26	53721.0	23242.0	0.8145	2914.0	1.0
27	40487.0	21588.0	0.851	3091.0	1.0
28	83041.0	21896.0	0.7365	2957.0	1.0
29	53833.0	21820.0	0.812	2894.0	1.0
30	57423.0	22783.0	0.8045	2935.0	1.0
31	37276.0	21464.0	0.868	2995.0	1.0
32	32553.0	20258.0	0.8895	2824.0	1.0
33	41333.0	22333.0	0.859	2899.0	1.0
34	75422.0	22655.0	0.762	2815.0	1.0
35	50907.0	22422.0	0.8155	2890.0	1.0
36	53870.0	22159.0	0.8105	2942.0	1.0
37	46684.0	22163.0	0.834	2986.0	1.0
38	42311.0	20208.0	0.8305	2920.0	1.0
39	35975.0	21287.0	0.875	3047.0	1.0
40	33669.0	21090.0	0.8855	3079.0	1.0
41	46682.0	21843.0	0.8345	2739.0	1.0
42	45604.0	23322.0	0.8415	2843.0	1.0
43	33329.0	20912.0	0.895	2873.0	1.0
44	61176.0	22888.0	0.7925	2990.0	1.0
45	42497.0	22094.0	0.8475	3129.0	1.0
46	43853.0	22678.0	0.845	2954.0	1.0
47	57286.0	22207.0	0.803	2997.0	1.0
48	69415.0	22792.0	0.765	3036.0	1.0
49	59328.0	23870.0	0.801	3365.0	1.0
50	33210.0	20372.0	0.8865	2769.0	1.0
51	67530.0	21761.0	0.765	2704.0	1.0
52	50114.0	23561.0	0.833	3227.0	1.0
53	41589.0	21212.0	0.8495	2979.0	1.0
54	34495.0	21495.0	0.882	3104.0	1.0
55	57290.0	22658.0	0.806	2949.0	1.0
56	62646.0	23958.0	0.7895	3393.0	1.0
57	113786.0	19921.0	0.6935	3038.0	1.0
58	36157.0	21990.0	0.8815	2840.0	1.0
59	46708.0	22135.0	0.8425	2841.0	1.0
60	35680.0	22198.0	0.884	3217.0	1.0
61	52447.0	22947.0	0.8155	2990.0	1.0
62	41806.0	22253.0	0.858	2969.0	1.0
63	42401.0	21790.0	0.843	3029.0	1.0
64	32358.0	21140.0	0.9015	2962.0	1.0
65	40883.0	22333.0	0.8625	3200.0	1.0
66	56562.0	22366.0	0.8015	2849.0	1.0
67	37991.0	21414.0	0.875	3165.0	1.0
68	33210.0	21441.0	0.893	3108.0	1.0
69	34430.0	21667.0	0.884	3376.0	1.0
70	51484.0	23179.0	0.8285	2858.0	1.0
71	64707.0	22381.0	0.771	2776.0	1.0
72	47526.0	22201.0	0.833	2875.0	1.0
73	42785.0	21802.0	0.8445	3021.0	1.0
74	40273.0	21331.0	0.8525	2890.0	1.0
75	42938.0	22688.0	0.848	3119.0	1.0
76	43294.0	21283.0	0.8455	2878.0	1.0
77	43160.0	22761.0	0.856	2798.0	1.0
78	38166.0	21162.0	0.864	3193.0	1.0
79	45355.0	22095.0	0.8355	2717.0	1.0
80	73270.0	22639.0	0.7615	3137.0	1.0
81	34675.0	21790.0	0.8885	3122.0	1.0
82	67355.0	22663.0	0.7715	2994.0	1.0
83	48207.0	23126.0	0.835	2873.0	1.0
84	60723.0	22475.0	0.7815	3086.0	1.0
85	57536.0	23452.0	0.808	3201.0	1.0
86	54890.0	22593.0	0.802	2931.0	1.0
87	50893.0	21738.0	0.8215	2896.0	1.0
88	59437.0	23528.0	0.8	2826.0	1.0
89	54032.0	21788.0	0.8075	2975.0	1.0
90	48712.0	22318.0	0.8325	2832.0	1.0
91	74669.0	23316.0	0.7575	2982.0	1.0
92	77953.0	22102.0	0.748	2726.0	1.0
93	52324.0	22111.0	0.7955	3090.0	1.0
94	36570.0	20712.0	0.856	3071.0	1.0
95	44584.0	22688.0	0.8465	2957.0	1.0
96	43942.0	22925.0	0.8425	3222.0	1.0
97	41357.0	21859.0	0.857	3251.0	1.0
98	59433.0	22326.0	0.7895	2939.0	1.0
99	52025.0	23147.0	0.821	3019.0	1.0
0	33714.0	21410.0	0.884	3289.0	1.0
1	72361.0	23489.0	0.7585	3195.0	1.0
2	59566.0	22531.0	0.7905	3015.0	1.0
3	47158.0	22024.0	0.8355	2724.0	1.0
4	55904.0	23127.0	0.8105	3010.0	1.0
5	54264.0	22815.0	0.7985	3388.0	1.0
6	36812.0	22006.0	0.879	3062.0	1.0
7	35411.0	21796.0	0.8785	3106.0	1.0
8	42845.0	22189.0	0.855	2997.0	1.0
9	39026.0	21725.0	0.8665	3382.0	1.0
10	51643.0	23043.0	0.822	2886.0	1.0
11	37974.0	22098.0	0.8755	3151.0	1.0
12	40166.0	23122.0	0.863	3050.0	1.0
13	43036.0	22896.0	0.861	2862.0	1.0
14	44347.0	20970.0	0.838	2920.0	1.0
15	46486.0	21992.0	0.8355	3100.0	1.0
16	45826.0	22358.0	0.831	2812.0	1.0
17	42252.0	21499.0	0.8465	3042.0	1.0
18	49814.0	23520.0	0.8245	3187.0	1.0
19	62754.0	22991.0	0.794	2950.0	1.0
20	46863.0	21531.0	0.826	2986.0	1.0
21	35738.0	22332.0	0.8915	3087.0	1.0
22	40537.0	22093.0	0.8585	3056.0	1.0
23	59557.0	22992.0	0.8065	2940.0	1.0
24	47348.0	22207.0	0.828	3062.0	1.0
25	37303.0	20825.0	0.86	2937.0	1.0
26	48582.0	22812.0	0.833	2978.0	1.0
27	41937.0	22101.0	0.8505	2934.0	1.0
28	69405.0	23429.0	0.767	3164.0	1.0
29	56013.0	23445.0	0.7975	3316.0	1.0
30	65135.0	24313.0	0.789	3214.0	1.0
31	40673.0	22116.0	0.862	2955.0	1.0
32	33422.0	20251.0	0.884	2983.0	1.0
33	42774.0	22484.0	0.8525	3116.0	1.0
34	68479.0	22892.0	0.7695	2887.0	1.0
35	48567.0	23162.0	0.8335	3163.0	1.0
36	53110.0	22480.0	0.8065	2828.0	1.0
37	49889.0	21931.0	0.8115	3184.0	1.0
38	46371.0	21969.0	0.826	3253.0	1.0
39	39258.0	22481.0	0.867	2970.0	1.0
40	32496.0	19990.0	0.8845	2819.0	1.0
41	44841.0	22201.0	0.835	2903.0	1.0
42	43940.0	22547.0	0.849	2980.0	1.0
43	35042.0	21540.0	0.8875	2972.0	1.0
44	59397.0	22713.0	0.8085	2921.0	1.0
45	41355.0	21834.0	0.8575	3023.0	1.0
46	44644.0	22145.0	0.838	3307.0	1.0
47	53885.0	21859.0	0.7975	3009.0	1.0
48	68437.0	23633.0	0.7885	2846.0	1.0
49	55387.0	21859.0	0.7895	2954.0	1.0
50	33593.0	21402.0	0.9	2887.0	1.0
51	74807.0	22457.0	0.748	2976.0	1.0
52	52876.0	22471.0	0.8235	2887.0	1.0
53	41326.0	23391.0	0.8625	3242.0	1.0
54	36205.0	21697.0	0.8745	2894.0	1.0
55	53038.0	21883.0	0.8075	2952.0	1.0
56	58463.0	22355.0	0.79	3063.0	1.0
57	92311.0	19814.0	0.7105	2835.0	1.0
