Runs	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
1	76470.0	23489.0	0.7625	2943.0	1.0
2	65244.0	22443.0	0.772	2933.0	1.0
3	72758.0	22882.0	0.761	2957.0	1.0
4	71104.0	22729.0	0.7655	2908.0	1.0
5	71484.0	22609.0	0.7535	2913.0	1.0
6	68689.0	23707.0	0.7775	3050.0	1.0
7	73117.0	22857.0	0.7565	3134.0	1.0
8	66358.0	23277.0	0.7735	2790.0	1.0
9	63533.0	21375.0	0.782	2716.0	1.0
10	68410.0	21974.0	0.771	2796.0	1.0
11	73476.0	21567.0	0.759	2704.0	1.0
12	63565.0	23494.0	0.781	2936.0	1.0
13	71469.0	23330.0	0.769	3061.0	1.0
14	64153.0	21299.0	0.7765	2721.0	1.0
15	60337.0	23978.0	0.814	2898.0	1.0
16	67183.0	21871.0	0.7625	2910.0	1.0
17	70496.0	22679.0	0.775	3064.0	1.0
18	62412.0	23441.0	0.7835	3402.0	1.0
19	59822.0	22806.0	0.7935	2997.0	1.0
20	61538.0	22628.0	0.7865	2832.0	1.0
21	76465.0	25693.0	0.765	3035.0	1.0
22	65123.0	24609.0	0.7895	3163.0	1.0
23	63001.0	22179.0	0.7845	2810.0	1.0
24	66165.0	23320.0	0.768	3091.0	1.0
25	54741.0	22345.0	0.8025	2966.0	1.0
26	59631.0	22367.0	0.801	2529.0	1.0
27	67357.0	22788.0	0.771	2959.0	1.0
28	58910.0	21283.0	0.7925	2836.0	1.0
29	67287.0	22884.0	0.7695	3105.0	1.0
30	60613.0	23177.0	0.7935	3154.0	1.0
31	57403.0	22664.0	0.8055	2700.0	1.0
32	61276.0	23159.0	0.79	2954.0	1.0
33	59629.0	22016.0	0.7865	3147.0	1.0
34	53812.0	23052.0	0.825	2757.0	1.0
35	70575.0	23659.0	0.7655	3196.0	1.0
36	56490.0	21413.0	0.801	2557.0	1.0
37	64984.0	23219.0	0.785	2824.0	1.0
38	64523.0	23396.0	0.78	2851.0	1.0
39	57854.0	22066.0	0.796	2861.0	1.0
40	77929.0	24155.0	0.7565	3174.0	1.0
41	69882.0	23878.0	0.7765	2964.0	1.0
42	52647.0	23652.0	0.817	3275.0	1.0
43	65150.0	22403.0	0.786	2879.0	1.0
44	66943.0	23662.0	0.779	3062.0	1.0
45	67810.0	22436.0	0.7645	2996.0	1.0
46	65919.0	23140.0	0.7845	2962.0	1.0
47	72433.0	22866.0	0.764	3161.0	1.0
48	66318.0	24251.0	0.791	2807.0	1.0
49	56274.0	23274.0	0.81	3048.0	1.0
50	60900.0	22015.0	0.7885	2919.0	1.0
51	57985.0	22190.0	0.788	2928.0	1.0
52	65379.0	22738.0	0.7775	2887.0	1.0
53	49697.0	24436.0	0.841	3054.0	1.0
54	65315.0	22624.0	0.777	2876.0	1.0
55	76947.0	22566.0	0.746	3044.0	1.0
56	56440.0	23025.0	0.8025	3092.0	1.0
57	67323.0	22304.0	0.7685	2873.0	1.0
58	65996.0	22738.0	0.784	2975.0	1.0
59	58864.0	22553.0	0.789	3216.0	1.0
60	67472.0	23455.0	0.7735	2927.0	1.0
61	51039.0	23376.0	0.829	2921.0	1.0
62	70278.0	23162.0	0.775	2929.0	1.0
63	59139.0	22568.0	0.796	2709.0	1.0
64	70640.0	23164.0	0.764	3062.0	1.0
65	64686.0	23692.0	0.7725	2971.0	1.0
66	65874.0	23350.0	0.775	2940.0	1.0
67	58029.0	22675.0	0.801	2722.0	1.0
68	59036.0	21486.0	0.787	2866.0	1.0
69	63468.0	23191.0	0.789	2841.0	1.0
70	67426.0	22360.0	0.7595	2910.0	1.0
71	63544.0	23047.0	0.7855	3013.0	1.0
72	57871.0	22749.0	0.792	3046.0	1.0
73	57121.0	22649.0	0.8025	3024.0	1.0
74	67771.0	22207.0	0.7785	3029.0	1.0
75	78680.0	23666.0	0.7485	2912.0	1.0
76	56513.0	22010.0	0.7855	3001.0	1.0
77	61994.0	22263.0	0.787	2768.0	1.0
