Id	Weibull Discovery Time	Discovery Time	Fraction Discovery	Information Time	Fraction Information
0	90865.0	90294.0	0.8079	4710.0	1.0
1	99583.0	98589.0	0.7691	5031.0	1.0
2	128565.0	100305.0	0.6696	4509.0	1.0
3	95339.0	94874.0	0.7695	5198.0	1.0
4	95145.0	95669.0	0.7926	4809.0	1.0
5	136762.0	104031.0	0.6657	4583.0	1.0
6	160802.0	112388.0	0.6775	5135.0	1.0
7	97704.0	95993.0	0.776	4578.0	1.0
8	93688.0	95958.0	0.7982	4997.0	1.0
9	124859.0	98277.0	0.6524	4992.0	1.0
10	91839.0	94072.0	0.8002	4853.0	1.0
11	98145.0	97744.0	0.7645	5078.0	1.0
12	89671.0	94684.0	0.8309	4606.0	1.0
13	96471.0	96079.0	0.786	4649.0	1.0
14	107666.0	100725.0	0.7534	4758.0	1.0
15	125884.0	105410.0	0.7089	4634.0	1.0
16	131980.0	105143.0	0.6804	4746.0	1.0
17	93956.0	96527.0	0.8164	4634.0	1.0
18	94427.0	97062.0	0.8018	4474.0	1.0
19	99948.0	99875.0	0.7754	4731.0	1.0
20	94729.0	95044.0	0.7965	4742.0	1.0
21	90841.0	92427.0	0.8173	4738.0	1.0
22	98326.0	100088.0	0.7937	4494.0	1.0
23	109584.0	99032.0	0.7398	4798.0	1.0
24	92730.0	97576.0	0.8212	4859.0	1.0
25	88230.0	93358.0	0.8359	4729.0	1.0
26	89059.0	89942.0	0.8254	4908.0	1.0
27	113980.0	102182.0	0.7329	4508.0	1.0
28	88399.0	94212.0	0.8491	4560.0	1.0
29	91865.0	96604.0	0.826	4871.0	1.0
30	250927.0	115103.0	0.5825	6194.0	1.0
31	94541.0	96585.0	0.8001	4789.0	1.0
32	95657.0	96099.0	0.8079	4540.0	1.0
33	93029.0	88945.0	0.7894	4637.0	1.0
34	103968.0	98864.0	0.7616	4761.0	1.0
35	130098.0	106777.0	0.7061	4403.0	1.0
36	92907.0	95353.0	0.8085	4498.0	1.0
37	97078.0	98253.0	0.7889	4615.0	1.0
38	89691.0	96406.0	0.8253	4772.0	1.0
39	106340.0	97273.0	0.7267	4595.0	1.0
40	110828.0	102625.0	0.7458	4624.0	1.0
41	91100.0	96067.0	0.8193	4746.0	1.0
42	100878.0	96792.0	0.7534	4692.0	1.0
43	101176.0	98837.0	0.7696	4573.0	1.0
44	128001.0	103109.0	0.683	4546.0	1.0
45	93259.0	95668.0	0.7955	4674.0	1.0
46	88639.0	96365.0	0.8494	4794.0	1.0
47	116450.0	105362.0	0.749	4722.0	1.0
48	91240.0	94652.0	0.832	4813.0	1.0
49	90784.0	95318.0	0.8282	4698.0	1.0
50	89521.0	94668.0	0.83	5036.0	1.0
51	92151.0	91979.0	0.8163	4770.0	1.0
52	99831.0	73367.0	0.5186	4728.0	1.0
53	86323.0	89755.0	0.8183	4540.0	1.0
54	89009.0	93221.0	0.8306	4771.0	1.0
55	86339.0	93245.0	0.8357	4811.0	1.0
56	102182.0	100988.0	0.7697	4618.0	1.0
57	88351.0	93288.0	0.8281	4725.0	1.0
58	89577.0	92002.0	0.8009	4960.0	1.0
59	95194.0	96217.0	0.8031	4585.0	1.0
60	91586.0	94318.0	0.8332	4718.0	1.0
61	92571.0	96508.0	0.82	4741.0	1.0
62	131441.0	103969.0	0.6727	4311.0	1.0
63	93285.0	95700.0	0.8151	4538.0	1.0
64	95484.0	95701.0	0.8008	4803.0	1.0
65	86686.0	90547.0	0.8364	4719.0	1.0
66	90524.0	95503.0	0.8259	4643.0	1.0
67	91481.0	95683.0	0.8059	4535.0	1.0
68	111876.0	101693.0	0.7198	4566.0	1.0
69	92032.0	97043.0	0.8266	4726.0	1.0
70	87118.0	93758.0	0.8458	4589.0	1.0
71	107296.0	97020.0	0.7183	4953.0	1.0
72	124277.0	103694.0	0.7065	4658.0	1.0
73	138512.0	105767.0	0.6649	4415.0	1.0
74	95234.0	98332.0	0.8245	4622.0	1.0
75	125229.0	101720.0	0.6851	4695.0	1.0
76	103430.0	99392.0	0.7596	4502.0	1.0
77	101905.0	99398.0	0.7688	4528.0	1.0
78	101568.0	101434.0	0.778	4735.0	1.0
79	130864.0	102014.0	0.6594	4663.0	1.0
80	87286.0	92695.0	0.8401	4780.0	1.0
81	102001.0	98537.0	0.7636	4629.0	1.0
82	140542.0	107123.0	0.6835	4498.0	1.0
83	105238.0	101480.0	0.767	4683.0	1.0
84	89139.0	93138.0	0.834	4747.0	1.0
85	90721.0	95762.0	0.8345	4653.0	1.0
86	107278.0	100024.0	0.735	5096.0	1.0
87	88888.0	93950.0	0.8349	4953.0	1.0
88	147864.0	107853.0	0.6613	4587.0	1.0
89	121872.0	102161.0	0.6907	4482.0	1.0
90	94192.0	95928.0	0.7776	4883.0	1.0
91	99583.0	100869.0	0.7771	5384.0	1.0
92	147775.0	103770.0	0.6388	4654.0	1.0
93	91007.0	96146.0	0.8388	4602.0	1.0
94	133658.0	102944.0	0.6811	4732.0	1.0
95	132420.0	106562.0	0.6749	4631.0	1.0
96	103514.0	101839.0	0.772	4773.0	1.0
97	92379.0	97602.0	0.8275	5007.0	1.0
98	94057.0	99293.0	0.822	4382.0	1.0
99	96223.0	98733.0	0.8204	4435.0	1.0
