Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               67441.0 	       38382.0 	            0.1447 	         24271.0 	              0.992
   2 	               68091.0 	       36178.0 	            0.1235 	         24526.0 	              0.9985
   3 	               67484.0 	       38065.0 	            0.163  	         23677.0 	              0.9996
   4 	               67933.0 	       35970.0 	            0.107  	         26747.0 	              0.9749
   5 	               67478.0 	       37598.0 	            0.1384 	         24736.0 	              0.999
   6 	               67459.0 	       36726.0 	            0.1451 	         23065.0 	              0.9989
   7 	               67316.0 	       38528.0 	            0.1544 	         23701.0 	              1.0
   8 	               67792.0 	       37720.0 	            0.1335 	         25018.0 	              0.9984
   9 	               67770.0 	       37409.0 	            0.1319 	         26064.0 	              0.9984
  10 	               67360.0 	       36931.0 	            0.1429 	         23641.0 	              0.9984
