Runs 	Weibull Discovery Time 	Discovery Time 	Fraction Discovery 	Information Time 	Fraction Information
   1 	               68000.0 	       39857.0 	            0.1157 	         34447.0 	              0.9961
   2 	               67591.0 	       37071.0 	            0.104  	         35773.0 	              0.9943
   3 	               67700.0 	       38180.0 	            0.1105 	         34658.0 	              0.982
   4 	               71351.0 	        8051.0 	            0.0419 	         19986.0 	              0.5448
   5 	               69585.0 	       18738.0 	            0.05   	         25771.0 	              0.6404
   6 	               68557.0 	       14200.0 	            0.0409 	         17766.0 	              0.4403
   7 	               66601.0 	       14982.0 	            0.043  	         17927.0 	              0.4215
   8 	               67139.0 	       39905.0 	            0.1334 	         32942.0 	              0.9994
   9 	               67429.0 	       24722.0 	            0.0629 	         33734.0 	              0.8011
  10 	               67399.0 	       45562.0 	            0.1978 	         26990.0 	              0.9999
