,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2586.6625783789423,1000.0
1,1.0,0.01,1.0,2530.1550454875396,1000.0
2,1.0,0.01,2.0,2524.912014405323,1000.0
3,1.0,0.01,3.0,2540.572962716069,1000.0
4,1.0,0.01,4.0,2543.1189590592257,1000.0
5,1.0,0.01,5.0,666.3783578211878,309.0
6,1.0,0.01,6.0,2319.025604644783,946.0
7,1.0,0.01,7.0,2535.3747378509142,1000.0
8,1.0,0.01,8.0,499.95090837224416,248.0
9,1.0,0.01,9.0,2510.4101635189945,1000.0
10,1.0,0.07,0.0,1288.0282300513572,537.0
11,1.0,0.07,1.0,837.7874508890745,375.0
12,1.0,0.07,2.0,2470.2997930864294,1000.0
13,1.0,0.07,3.0,410.3013869991555,212.0
14,1.0,0.07,4.0,2505.8504664636785,1000.0
15,1.0,0.07,5.0,2536.07249361476,1000.0
16,1.0,0.07,6.0,428.70643804255815,203.0
17,1.0,0.07,7.0,2510.4575680152484,1000.0
18,1.0,0.07,8.0,2551.3772742192377,1000.0
19,1.0,0.07,9.0,1793.567428332055,731.0
20,1.0,0.13,0.0,2446.924507664815,1000.0
21,1.0,0.13,1.0,1215.5227308796602,517.0
22,1.0,0.13,2.0,2431.874765416309,1000.0
23,1.0,0.13,3.0,1290.55628613921,548.0
24,1.0,0.13,4.0,2416.9446232508926,1000.0
25,1.0,0.13,5.0,1144.3272569203546,497.0
26,1.0,0.13,6.0,2103.6019336412282,877.0
27,1.0,0.13,7.0,1277.1130226135574,545.0
28,1.0,0.13,8.0,937.0915769978237,406.0
29,1.0,0.13,9.0,601.2399168756237,284.0
30,1.0,0.19000000000000003,0.0,289.97145647947764,188.0
31,1.0,0.19000000000000003,1.0,421.58520128676173,210.0
32,1.0,0.19000000000000003,2.0,136.1931200927429,89.0
33,1.0,0.19000000000000003,3.0,213.4389417573184,118.0
34,1.0,0.19000000000000003,4.0,2003.5437273723219,827.0
35,1.0,0.19000000000000003,5.0,618.6593410525675,306.0
36,1.0,0.19000000000000003,6.0,143.32855254361493,86.0
37,1.0,0.19000000000000003,7.0,2366.9107862838937,1000.0
38,1.0,0.19000000000000003,8.0,679.7259726042685,300.0
39,1.0,0.19000000000000003,9.0,2420.433964636977,1000.0
40,1.0,0.25,0.0,427.9416686487748,223.0
41,1.0,0.25,1.0,402.2147767135175,216.0
42,1.0,0.25,2.0,179.13457773158007,128.0
43,1.0,0.25,3.0,332.7619894844247,176.0
44,1.0,0.25,4.0,224.15855973918224,125.0
45,1.0,0.25,5.0,103.46614157424483,78.0
46,1.0,0.25,6.0,1497.0277439087731,670.0
47,1.0,0.25,7.0,324.9574770355175,175.0
48,1.0,0.25,8.0,239.54565074597485,126.0
49,1.0,0.25,9.0,1074.6529315167209,479.0
50,1.0,0.31000000000000005,0.0,86.3332468007211,70.0
51,1.0,0.31000000000000005,1.0,467.6996018224454,233.0
