,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,2676.1813431029605,1000.0
1,1.0,0.01,1.0,2605.7590787157214,1000.0
2,1.0,0.01,2.0,2687.4641485324023,1000.0
3,1.0,0.01,3.0,2687.672709634293,1000.0
4,1.0,0.01,4.0,2690.822007088907,1000.0
5,1.0,0.01,5.0,2692.3293213925463,1000.0
6,1.0,0.01,6.0,2677.7909904466483,1000.0
7,1.0,0.01,7.0,2710.9660791071483,1000.0
8,1.0,0.01,8.0,2672.7458484957924,1000.0
9,1.0,0.01,9.0,2702.4221709536955,1000.0
10,1.0,0.07,0.0,2661.984416619346,1000.0
11,1.0,0.07,1.0,2618.664551125309,1000.0
12,1.0,0.07,2.0,2652.268309106537,1000.0
13,1.0,0.07,3.0,2653.362685367236,1000.0
14,1.0,0.07,4.0,2577.4859053616974,1000.0
15,1.0,0.07,5.0,2689.3438680466247,1000.0
16,1.0,0.07,6.0,2676.193045802123,1000.0
17,1.0,0.07,7.0,2679.913195467157,1000.0
18,1.0,0.07,8.0,2700.5763047088403,1000.0
19,1.0,0.07,9.0,2624.5909518807402,1000.0
20,1.0,0.13,0.0,2654.571794000554,1000.0
21,1.0,0.13,1.0,2650.2849826222787,1000.0
22,1.0,0.13,2.0,2584.6588930302883,1000.0
23,1.0,0.13,3.0,2650.2486853564305,1000.0
24,1.0,0.13,4.0,2637.930802300649,1000.0
25,1.0,0.13,5.0,2667.204036550008,1000.0
26,1.0,0.13,6.0,2628.4921436201666,1000.0
27,1.0,0.13,7.0,2661.040570435428,1000.0
28,1.0,0.13,8.0,2623.8947569004786,1000.0
29,1.0,0.13,9.0,2653.4279069191234,1000.0
30,1.0,0.19000000000000003,0.0,2610.465845554182,1000.0
31,1.0,0.19000000000000003,1.0,2615.725584692668,1000.0
32,1.0,0.19000000000000003,2.0,2610.3481584410756,1000.0
33,1.0,0.19000000000000003,3.0,2261.3448190168488,882.0
34,1.0,0.19000000000000003,4.0,2614.939575870594,1000.0
35,1.0,0.19000000000000003,5.0,2632.622907046222,1000.0
36,1.0,0.19000000000000003,6.0,2547.422252245603,1000.0
37,1.0,0.19000000000000003,7.0,995.531851117111,416.0
38,1.0,0.19000000000000003,8.0,2390.1718470561505,1000.0
39,1.0,0.19000000000000003,9.0,2603.051761602633,1000.0
40,1.0,0.25,0.0,2548.833167049681,1000.0
41,1.0,0.25,1.0,2584.277596828588,1000.0
42,1.0,0.25,2.0,2425.3996099154638,1000.0
43,1.0,0.25,3.0,2568.9971317502254,1000.0
44,1.0,0.25,4.0,2532.0724796038735,1000.0
45,1.0,0.25,5.0,2579.806513588294,1000.0
46,1.0,0.25,6.0,2532.0683041785983,1000.0
47,1.0,0.25,7.0,1032.5140268230093,460.0
48,1.0,0.25,8.0,2550.0544790973586,1000.0
