,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,201.78002358979327,90.0
1,1.0,0.01,1.0,196.68068470523838,85.0
2,1.0,0.01,2.0,183.96294835650033,84.0
3,1.0,0.01,3.0,127.85828375950848,82.0
4,1.0,0.01,4.0,178.8803732828393,77.0
5,1.0,0.01,5.0,182.52812135285208,83.0
6,1.0,0.01,6.0,47.57198264090604,79.0
7,1.0,0.01,7.0,178.97925508273244,79.0
8,1.0,0.01,8.0,-19.452505366697874,19.0
9,1.0,0.01,9.0,126.21403625274625,79.0
10,1.0,0.07,0.0,158.25989731413088,83.0
11,1.0,0.07,1.0,168.4783624402709,82.0
12,1.0,0.07,2.0,195.2528678947059,83.0
13,1.0,0.07,3.0,156.22939395479094,88.0
14,1.0,0.07,4.0,179.819862175753,78.0
15,1.0,0.07,5.0,123.21827774306941,67.0
16,1.0,0.07,6.0,74.28622483320542,80.0
17,1.0,0.07,7.0,176.58858189631556,78.0
18,1.0,0.07,8.0,-27.022197883740763,19.0
19,1.0,0.07,9.0,115.138631203928,80.0
20,1.0,0.13,0.0,172.73999875759242,85.0
21,1.0,0.13,1.0,157.51926420744613,84.0
22,1.0,0.13,2.0,171.88474443101958,77.0
23,1.0,0.13,3.0,147.9497918412453,78.0
24,1.0,0.13,4.0,160.7255726394039,77.0
25,1.0,0.13,5.0,165.8512315288792,73.0
26,1.0,0.13,6.0,63.869210560061475,74.0
27,1.0,0.13,7.0,173.01506513450155,76.0
28,1.0,0.13,8.0,-30.891306291944932,19.0
29,1.0,0.13,9.0,117.42985866175997,81.0
30,1.0,0.19000000000000003,0.0,140.97642998498125,83.0
31,1.0,0.19000000000000003,1.0,151.21076151780588,81.0
32,1.0,0.19000000000000003,2.0,181.33299692429725,87.0
33,1.0,0.19000000000000003,3.0,151.89198995869822,80.0
34,1.0,0.19000000000000003,4.0,172.22249333572188,75.0
35,1.0,0.19000000000000003,5.0,110.15651289260438,61.0
36,1.0,0.19000000000000003,6.0,13.005041080940046,69.0
37,1.0,0.19000000000000003,7.0,162.67802163048864,72.0
38,1.0,0.19000000000000003,8.0,-19.727122350170657,19.0
39,1.0,0.19000000000000003,9.0,69.46233154879044,84.0
40,1.0,0.25,0.0,137.87523615575188,82.0
41,1.0,0.25,1.0,148.34477883145453,78.0
42,1.0,0.25,2.0,188.89548609273075,85.0
43,1.0,0.25,3.0,119.37250085650487,74.0
44,1.0,0.25,4.0,164.42440121517288,72.0
45,1.0,0.25,5.0,90.29949997582911,59.0
46,1.0,0.25,6.0,43.52151019817367,60.0
47,1.0,0.25,7.0,174.0420794295527,85.0
48,1.0,0.25,8.0,-22.27923848470791,19.0
49,1.0,0.25,9.0,88.22491716945979,82.0
50,1.0,0.31000000000000005,0.0,111.24917008112453,80.0
51,1.0,0.31000000000000005,1.0,148.9367631119229,74.0
52,1.0,0.31000000000000005,2.0,156.3617839994346,77.0
53,1.0,0.31000000000000005,3.0,125.99629112822942,74.0
54,1.0,0.31000000000000005,4.0,173.19326178827453,74.0
55,1.0,0.31000000000000005,5.0,94.97490139384502,59.0
56,1.0,0.31000000000000005,6.0,21.745754533494146,49.0
57,1.0,0.31000000000000005,7.0,120.15505400265364,85.0
58,1.0,0.31000000000000005,8.0,-10.607308029005951,19.0
59,1.0,0.31000000000000005,9.0,14.155464705139078,57.0
60,1.0,0.37000000000000005,0.0,88.14442968590457,79.0
61,1.0,0.37000000000000005,1.0,151.05711313117965,74.0
62,1.0,0.37000000000000005,2.0,127.13938678209071,77.0
63,1.0,0.37000000000000005,3.0,57.10652445934642,51.0
64,1.0,0.37000000000000005,4.0,123.95535662616012,64.0
65,1.0,0.37000000000000005,5.0,59.039414965120784,49.0
66,1.0,0.37000000000000005,6.0,-8.700697495080199,44.0
67,1.0,0.37000000000000005,7.0,122.1452728607765,76.0
68,1.0,0.37000000000000005,8.0,-24.804545951863634,19.0
69,1.0,0.37000000000000005,9.0,28.134741373986575,54.0
70,1.0,0.43000000000000005,0.0,77.46044356945528,81.0
71,1.0,0.43000000000000005,1.0,128.20493828361663,71.0
72,1.0,0.43000000000000005,2.0,146.734040965992,84.0
73,1.0,0.43000000000000005,3.0,31.1669904049261,48.0
74,1.0,0.43000000000000005,4.0,90.41564058844165,55.0
75,1.0,0.43000000000000005,5.0,27.79379035470653,41.0
76,1.0,0.43000000000000005,6.0,-8.265651943280991,50.0
77,1.0,0.43000000000000005,7.0,38.9825888822151,41.0
78,1.0,0.43000000000000005,8.0,-36.30795588910041,19.0
79,1.0,0.43000000000000005,9.0,11.13817488005487,44.0
80,1.0,0.49000000000000005,0.0,61.66540468985223,80.0
81,1.0,0.49000000000000005,1.0,102.94524700323272,79.0
82,1.0,0.49000000000000005,2.0,45.5376725434221,47.0
83,1.0,0.49000000000000005,3.0,43.541297552842245,50.0
84,1.0,0.49000000000000005,4.0,79.27533030928285,54.0
85,1.0,0.49000000000000005,5.0,22.43661184502022,40.0
86,1.0,0.49000000000000005,6.0,-11.836558366280945,24.0
87,1.0,0.49000000000000005,7.0,118.35589006367397,75.0
88,1.0,0.49000000000000005,8.0,-9.347928678137505,19.0
89,1.0,0.49000000000000005,9.0,2.5214012988467975,41.0
90,1.0,0.55,0.0,16.423029098026994,34.0
91,1.0,0.55,1.0,102.71285609997378,73.0
92,1.0,0.55,2.0,62.09698862848637,58.0
93,1.0,0.55,3.0,41.16931676940012,47.0
94,1.0,0.55,4.0,35.467386804720576,39.0
95,1.0,0.55,5.0,20.716906394697197,39.0
96,1.0,0.55,6.0,-4.134428247934877,22.0
97,1.0,0.55,7.0,31.5809072135597,41.0
98,1.0,0.55,8.0,-4.702812402758201,19.0
99,1.0,0.55,9.0,14.548485095064551,40.0
100,2.0,0.01,0.0,201.90735030239927,90.0
101,2.0,0.01,1.0,196.68068470523838,85.0
102,2.0,0.01,2.0,183.96294835650033,84.0
103,2.0,0.01,3.0,127.85828375950848,82.0
104,2.0,0.01,4.0,178.8803732828393,77.0
105,2.0,0.01,5.0,182.52812135285208,83.0
106,2.0,0.01,6.0,47.57198264090604,79.0
107,2.0,0.01,7.0,178.97925508273244,79.0
108,2.0,0.01,8.0,-19.452505366697874,19.0
109,2.0,0.01,9.0,126.21403625274625,79.0
110,2.0,0.07,0.0,158.25989731413088,83.0
111,2.0,0.07,1.0,168.4783624402709,82.0
112,2.0,0.07,2.0,195.2528678947059,83.0
113,2.0,0.07,3.0,156.22939395479094,88.0
114,2.0,0.07,4.0,179.819862175753,78.0
115,2.0,0.07,5.0,123.21827774306941,67.0
116,2.0,0.07,6.0,74.28622483320542,80.0
117,2.0,0.07,7.0,176.58858189631556,78.0
118,2.0,0.07,8.0,-27.022197883740763,19.0
