,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1077.438749657626,1000.0
1,1.0,0.01,1.0,1114.489922847081,1000.0
2,1.0,0.01,2.0,1173.0249164058446,1000.0
3,1.0,0.01,3.0,1195.1299576672811,1000.0
4,1.0,0.01,4.0,1160.22138399622,1000.0
5,1.0,0.01,5.0,-514.0629079871514,1000.0
6,1.0,0.01,6.0,773.433300493249,1000.0
7,1.0,0.01,7.0,586.1303921116714,1000.0
8,1.0,0.01,8.0,1126.9375999951728,1000.0
9,1.0,0.01,9.0,1077.2834153795768,1000.0
10,1.0,0.07,0.0,1148.719116767882,1000.0
11,1.0,0.07,1.0,975.4743418257685,1000.0
12,1.0,0.07,2.0,1104.8019892149268,1000.0
13,1.0,0.07,3.0,1091.401279858574,1000.0
14,1.0,0.07,4.0,-297.0827125351433,980.0
15,1.0,0.07,5.0,1051.0397384388318,1000.0
16,1.0,0.07,6.0,1032.78901859754,1000.0
17,1.0,0.07,7.0,-453.6469375055753,1000.0
18,1.0,0.07,8.0,1093.3399920663294,1000.0
19,1.0,0.07,9.0,1104.102220113725,1000.0
20,1.0,0.13,0.0,1121.5591945421045,1000.0
21,1.0,0.13,1.0,1124.0744299818462,1000.0
22,1.0,0.13,2.0,1054.0214715583197,1000.0
23,1.0,0.13,3.0,1032.1132731179162,1000.0
24,1.0,0.13,4.0,248.5955237319979,950.0
25,1.0,0.13,5.0,1040.3985118931605,1000.0
26,1.0,0.13,6.0,1159.25187473898,1000.0
27,1.0,0.13,7.0,1116.0608441363831,1000.0
28,1.0,0.13,8.0,1104.0955006407064,1000.0
29,1.0,0.13,9.0,968.0582845078194,1000.0
30,1.0,0.19000000000000003,0.0,1079.0974009792437,1000.0
31,1.0,0.19000000000000003,1.0,1131.6490906870874,1000.0
32,1.0,0.19000000000000003,2.0,-296.90446684262037,618.0
33,1.0,0.19000000000000003,3.0,1085.086381887714,1000.0
34,1.0,0.19000000000000003,4.0,1132.460740082935,1000.0
35,1.0,0.19000000000000003,5.0,1081.5433416262697,1000.0
36,1.0,0.19000000000000003,6.0,958.2762041909787,1000.0
37,1.0,0.19000000000000003,7.0,-263.4798368160372,660.0
38,1.0,0.19000000000000003,8.0,1095.5554123336044,1000.0
39,1.0,0.19000000000000003,9.0,103.28351148217531,372.0
40,1.0,0.25,0.0,1057.5837342354191,1000.0
41,1.0,0.25,1.0,1102.0049413688987,1000.0
42,1.0,0.25,2.0,-395.6444247601569,795.0
43,1.0,0.25,3.0,43.59792252758619,417.0
44,1.0,0.25,4.0,1110.7525483611105,1000.0
45,1.0,0.25,5.0,1098.8733625836655,1000.0
46,1.0,0.25,6.0,931.9921476833432,1000.0
47,1.0,0.25,7.0,-153.48592662306874,479.0
48,1.0,0.25,8.0,982.5205134476028,1000.0
49,1.0,0.25,9.0,1067.044343078243,1000.0
50,1.0,0.31000000000000005,0.0,943.24628431332,1000.0
51,1.0,0.31000000000000005,1.0,924.8219876788412,1000.0
52,1.0,0.31000000000000005,2.0,924.4920799399545,1000.0
53,1.0,0.31000000000000005,3.0,203.07770608156966,649.0
54,1.0,0.31000000000000005,4.0,923.6664576844574,1000.0
55,1.0,0.31000000000000005,5.0,989.9449111951735,1000.0
56,1.0,0.31000000000000005,6.0,127.15600379947344,430.0
57,1.0,0.31000000000000005,7.0,844.6358162899696,1000.0
58,1.0,0.31000000000000005,8.0,1024.6285626374852,1000.0
59,1.0,0.31000000000000005,9.0,763.5616895314275,1000.0
60,1.0,0.37000000000000005,0.0,668.5192668856929,885.0
61,1.0,0.37000000000000005,1.0,-130.12091984357053,384.0
62,1.0,0.37000000000000005,2.0,-104.71797266874489,240.0
63,1.0,0.37000000000000005,3.0,847.2016621574024,1000.0
64,1.0,0.37000000000000005,4.0,949.4611027851248,1000.0
65,1.0,0.37000000000000005,5.0,157.39565197199119,523.0
66,1.0,0.37000000000000005,6.0,955.4822446089929,1000.0
67,1.0,0.37000000000000005,7.0,-59.7313180689499,293.0
68,1.0,0.37000000000000005,8.0,286.89936195806496,632.0
69,1.0,0.37000000000000005,9.0,222.64530186044252,572.0
70,1.0,0.43000000000000005,0.0,605.2264528886409,1000.0
71,1.0,0.43000000000000005,1.0,790.017716005642,1000.0
72,1.0,0.43000000000000005,2.0,-133.50394469745194,279.0
73,1.0,0.43000000000000005,3.0,-96.4729465139346,510.0
74,1.0,0.43000000000000005,4.0,166.3134739097921,598.0
75,1.0,0.43000000000000005,5.0,674.5753921554018,1000.0
76,1.0,0.43000000000000005,6.0,870.468158370928,1000.0
77,1.0,0.43000000000000005,7.0,226.49951979809293,684.0
78,1.0,0.43000000000000005,8.0,189.6008222856234,529.0
79,1.0,0.43000000000000005,9.0,961.1649514287237,1000.0
80,1.0,0.49000000000000005,0.0,651.0017162279914,1000.0
81,1.0,0.49000000000000005,1.0,20.879452387596466,523.0
82,1.0,0.49000000000000005,2.0,-103.8983571162808,250.0
83,1.0,0.49000000000000005,3.0,42.59010392094144,432.0
84,1.0,0.49000000000000005,4.0,543.3298522167714,824.0
85,1.0,0.49000000000000005,5.0,782.2287672468008,1000.0
86,1.0,0.49000000000000005,6.0,424.5749274464002,879.0
87,1.0,0.49000000000000005,7.0,561.6249429670341,1000.0
88,1.0,0.49000000000000005,8.0,196.00548669437998,1000.0
89,1.0,0.49000000000000005,9.0,245.325486072158,458.0
90,1.0,0.55,0.0,749.1160545285965,1000.0
91,1.0,0.55,1.0,96.02800024770873,689.0
92,1.0,0.55,2.0,-136.44377158177565,494.0
93,1.0,0.55,3.0,475.6394962013391,1000.0
94,1.0,0.55,4.0,40.70227627788533,480.0
95,1.0,0.55,5.0,620.1053092344617,1000.0
96,1.0,0.55,6.0,0.5250126479317406,567.0
97,1.0,0.55,7.0,158.39292221807895,506.0
98,1.0,0.55,8.0,-129.28950821194132,1000.0
99,1.0,0.55,9.0,584.391557440545,1000.0
100,2.0,0.01,0.0,1094.0959208778818,1000.0
101,2.0,0.01,1.0,1114.489922847081,1000.0
102,2.0,0.01,2.0,1173.0249164058446,1000.0
103,2.0,0.01,3.0,1195.1299576672811,1000.0
104,2.0,0.01,4.0,1160.22138399622,1000.0
105,2.0,0.01,5.0,-514.0629079871514,1000.0
106,2.0,0.01,6.0,773.433300493249,1000.0
