,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,115.34867870679591,220.0
1,1.0,0.01,1.0,521.3953431094706,1000.0
2,1.0,0.01,2.0,518.3602775795734,1000.0
3,1.0,0.01,3.0,30.941144455850008,106.0
4,1.0,0.01,4.0,26.63450421761081,77.0
5,1.0,0.01,5.0,49.93797206258023,105.0
6,1.0,0.01,6.0,524.5349172866918,1000.0
7,1.0,0.01,7.0,533.667108288304,1000.0
8,1.0,0.01,8.0,512.3005588185697,1000.0
9,1.0,0.01,9.0,30.86169377369515,123.0
10,1.0,0.07,0.0,515.7587195076121,1000.0
11,1.0,0.07,1.0,37.13932734744594,74.0
12,1.0,0.07,2.0,494.1509951688495,1000.0
13,1.0,0.07,3.0,34.443593118216086,102.0
14,1.0,0.07,4.0,33.13349408403883,68.0
15,1.0,0.07,5.0,50.876869110659754,104.0
16,1.0,0.07,6.0,512.2497455138728,1000.0
17,1.0,0.07,7.0,483.45957840429764,1000.0
18,1.0,0.07,8.0,527.2204545046188,1000.0
19,1.0,0.07,9.0,37.68485568626056,97.0
20,1.0,0.13,0.0,68.56512288696103,136.0
21,1.0,0.13,1.0,52.855276555375895,97.0
22,1.0,0.13,2.0,501.60510613492806,1000.0
23,1.0,0.13,3.0,26.9736391579645,94.0
24,1.0,0.13,4.0,34.74850647270796,76.0
25,1.0,0.13,5.0,101.7215087631048,207.0
26,1.0,0.13,6.0,502.6549757690882,1000.0
27,1.0,0.13,7.0,500.24892728002305,1000.0
28,1.0,0.13,8.0,495.1094656460409,1000.0
29,1.0,0.13,9.0,33.67541589330358,99.0
30,1.0,0.19000000000000003,0.0,69.31346469362325,135.0
31,1.0,0.19000000000000003,1.0,33.34631561356218,74.0
32,1.0,0.19000000000000003,2.0,435.57128011288296,1000.0
33,1.0,0.19000000000000003,3.0,48.1748159225026,121.0
34,1.0,0.19000000000000003,4.0,27.102320417150622,66.0
35,1.0,0.19000000000000003,5.0,484.60232048259786,1000.0
36,1.0,0.19000000000000003,6.0,484.12810653493943,1000.0
37,1.0,0.19000000000000003,7.0,467.1788269479148,1000.0
38,1.0,0.19000000000000003,8.0,494.85969561856473,1000.0
39,1.0,0.19000000000000003,9.0,39.271454626526975,92.0
40,1.0,0.25,0.0,57.44488711235317,115.0
41,1.0,0.25,1.0,34.68655883947213,69.0
42,1.0,0.25,2.0,460.03895694630046,1000.0
43,1.0,0.25,3.0,30.863223114683933,110.0
44,1.0,0.25,4.0,32.08796940509637,75.0
45,1.0,0.25,5.0,32.0903755024774,103.0
46,1.0,0.25,6.0,464.58039981305046,1000.0
47,1.0,0.25,7.0,334.7966446309365,793.0
48,1.0,0.25,8.0,77.62575495532656,257.0
49,1.0,0.25,9.0,48.30290318241168,102.0
50,1.0,0.31000000000000005,0.0,120.85856422787037,239.0
51,1.0,0.31000000000000005,1.0,31.62750007066643,65.0
52,1.0,0.31000000000000005,2.0,425.6669467631218,959.0
53,1.0,0.31000000000000005,3.0,157.18953594225604,382.0
54,1.0,0.31000000000000005,4.0,48.30173804463993,91.0
55,1.0,0.31000000000000005,5.0,30.577132034377428,1000.0
56,1.0,0.31000000000000005,6.0,126.88301868721464,269.0
57,1.0,0.31000000000000005,7.0,93.69942127855757,180.0
58,1.0,0.31000000000000005,8.0,235.86320348516892,502.0
59,1.0,0.31000000000000005,9.0,30.769773700798396,79.0
60,1.0,0.37000000000000005,0.0,218.91677472124138,485.0
61,1.0,0.37000000000000005,1.0,45.661403973790584,76.0
62,1.0,0.37000000000000005,2.0,72.05357989098411,134.0
63,1.0,0.37000000000000005,3.0,77.5909477272944,204.0
64,1.0,0.37000000000000005,4.0,50.237734418537,101.0
65,1.0,0.37000000000000005,5.0,66.84562184844253,205.0
66,1.0,0.37000000000000005,6.0,146.6730453406417,305.0
67,1.0,0.37000000000000005,7.0,87.10707977246784,177.0
68,1.0,0.37000000000000005,8.0,315.595789167819,723.0
69,1.0,0.37000000000000005,9.0,59.592187929061765,141.0
70,1.0,0.43000000000000005,0.0,191.10078535680805,484.0
71,1.0,0.43000000000000005,1.0,41.26339332215139,74.0
72,1.0,0.43000000000000005,2.0,107.61603306567122,207.0
73,1.0,0.43000000000000005,3.0,226.2933665466262,586.0
74,1.0,0.43000000000000005,4.0,42.29482124975766,90.0
75,1.0,0.43000000000000005,5.0,76.71515629371424,216.0
