,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1444.845419402991,1000.0
1,1.0,0.01,1.0,128.01259224370006,113.0
2,1.0,0.01,2.0,1415.8821207349538,1000.0
3,1.0,0.01,3.0,1433.9273253619976,1000.0
4,1.0,0.01,4.0,1458.893513128096,1000.0
5,1.0,0.01,5.0,1461.9778016712953,1000.0
6,1.0,0.01,6.0,1448.2046402713822,1000.0
7,1.0,0.01,7.0,1388.1238733744176,1000.0
8,1.0,0.01,8.0,1437.0842657155008,1000.0
9,1.0,0.01,9.0,1415.0003010862201,1000.0
10,1.0,0.07,0.0,1434.8735323628207,1000.0
11,1.0,0.07,1.0,1447.4504364696986,1000.0
12,1.0,0.07,2.0,1430.1795377654635,1000.0
13,1.0,0.07,3.0,1445.5564580195933,1000.0
14,1.0,0.07,4.0,1430.705735450094,1000.0
15,1.0,0.07,5.0,1410.4751866597726,1000.0
16,1.0,0.07,6.0,1428.6773958948543,1000.0
17,1.0,0.07,7.0,1435.3142269145683,1000.0
18,1.0,0.07,8.0,1433.2560545576853,1000.0
19,1.0,0.07,9.0,1409.7394847867035,1000.0
20,1.0,0.13,0.0,1423.8634675101566,1000.0
21,1.0,0.13,1.0,821.5234253297385,611.0
22,1.0,0.13,2.0,1440.1288888939453,1000.0
23,1.0,0.13,3.0,1437.4510509611573,1000.0
24,1.0,0.13,4.0,1420.5920302750965,1000.0
25,1.0,0.13,5.0,1392.8199497150345,1000.0
26,1.0,0.13,6.0,1417.9120961475273,1000.0
27,1.0,0.13,7.0,1431.369982485834,1000.0
28,1.0,0.13,8.0,1394.8282209787212,1000.0
29,1.0,0.13,9.0,1388.8177928188961,1000.0
30,1.0,0.19000000000000003,0.0,1425.191885315653,1000.0
31,1.0,0.19000000000000003,1.0,1384.3180457463677,1000.0
32,1.0,0.19000000000000003,2.0,214.21110004615184,173.0
33,1.0,0.19000000000000003,3.0,1410.205186154235,1000.0
34,1.0,0.19000000000000003,4.0,334.79892457187816,267.0
35,1.0,0.19000000000000003,5.0,1371.7174746224046,1000.0
36,1.0,0.19000000000000003,6.0,1390.0008158496858,1000.0
37,1.0,0.19000000000000003,7.0,1397.4202546630477,1000.0
38,1.0,0.19000000000000003,8.0,1409.769530423473,1000.0
39,1.0,0.19000000000000003,9.0,1374.0132992974613,1000.0
40,1.0,0.25,0.0,538.5411102787257,415.0
41,1.0,0.25,1.0,1384.913887643619,1000.0
42,1.0,0.25,2.0,63.84273301016219,73.0
43,1.0,0.25,3.0,460.4095175487091,338.0
44,1.0,0.25,4.0,137.87181237989716,137.0
45,1.0,0.25,5.0,1379.5341441492492,1000.0
46,1.0,0.25,6.0,1337.4580676939659,1000.0
47,1.0,0.25,7.0,1410.4597107949885,1000.0
48,1.0,0.25,8.0,1361.281588541773,1000.0
49,1.0,0.25,9.0,617.7607316776339,468.0
50,1.0,0.31000000000000005,0.0,1334.2753880601813,1000.0
51,1.0,0.31000000000000005,1.0,1312.6639531925466,1000.0
52,1.0,0.31000000000000005,2.0,51.3291778242492,68.0
53,1.0,0.31000000000000005,3.0,1344.4324861856076,1000.0
54,1.0,0.31000000000000005,4.0,71.92506882028101,85.0
55,1.0,0.31000000000000005,5.0,1345.2282755161796,1000.0
56,1.0,0.31000000000000005,6.0,1359.85547037387,1000.0
57,1.0,0.31000000000000005,7.0,1355.1715569383523,1000.0
58,1.0,0.31000000000000005,8.0,1342.070761711926,1000.0
