,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,1901.5499334356134,1000.0
1,1.0,0.01,1.0,1900.66270308512,1000.0
2,1.0,0.01,2.0,1918.187364722657,1000.0
3,1.0,0.01,3.0,1914.465423896653,1000.0
4,1.0,0.01,4.0,1920.5061012707342,1000.0
5,1.0,0.01,5.0,1898.2019757971148,1000.0
6,1.0,0.01,6.0,1915.5306990901363,1000.0
7,1.0,0.01,7.0,-1475.368667513485,1000.0
8,1.0,0.01,8.0,1921.9467888687489,1000.0
9,1.0,0.01,9.0,1874.4712116729079,1000.0
10,1.0,0.07,0.0,1878.768514248646,1000.0
11,1.0,0.07,1.0,1797.271205179634,1000.0
12,1.0,0.07,2.0,1786.065663065027,1000.0
13,1.0,0.07,3.0,1909.2110293145918,1000.0
14,1.0,0.07,4.0,1871.3517638866672,1000.0
15,1.0,0.07,5.0,1891.838575786352,1000.0
16,1.0,0.07,6.0,1838.978019461625,1000.0
17,1.0,0.07,7.0,1889.1840104903536,1000.0
18,1.0,0.07,8.0,1892.0549742169458,1000.0
19,1.0,0.07,9.0,1818.1281949787824,1000.0
20,1.0,0.13,0.0,1659.5019261663251,1000.0
21,1.0,0.13,1.0,-1524.9293783986504,1000.0
22,1.0,0.13,2.0,1745.3729023172,1000.0
23,1.0,0.13,3.0,1818.352282030083,1000.0
24,1.0,0.13,4.0,1765.1459690235383,1000.0
25,1.0,0.13,5.0,-1132.0906893515664,1000.0
26,1.0,0.13,6.0,1738.4050469840622,1000.0
27,1.0,0.13,7.0,-1467.9405738610026,1000.0
28,1.0,0.13,8.0,1769.2070793662754,1000.0
29,1.0,0.13,9.0,1806.7378215928377,1000.0
30,1.0,0.19000000000000003,0.0,1520.220339137232,1000.0
31,1.0,0.19000000000000003,1.0,1632.8233183465709,1000.0
32,1.0,0.19000000000000003,2.0,-1138.704677778465,1000.0
33,1.0,0.19000000000000003,3.0,1616.1262574583127,1000.0
34,1.0,0.19000000000000003,4.0,-1417.9347222351403,1000.0
35,1.0,0.19000000000000003,5.0,1640.3948453842295,1000.0
36,1.0,0.19000000000000003,6.0,1524.2467088301107,1000.0
37,1.0,0.19000000000000003,7.0,1562.2335082564032,1000.0
38,1.0,0.19000000000000003,8.0,1616.0139263419637,1000.0
39,1.0,0.19000000000000003,9.0,1422.1663599112865,1000.0
40,1.0,0.25,0.0,1367.2938349176006,1000.0
41,1.0,0.25,1.0,-1506.8415160705947,1000.0
42,1.0,0.25,2.0,915.4235002093828,1000.0
43,1.0,0.25,3.0,-1410.6083543980399,1000.0
44,1.0,0.25,4.0,1331.5891913809817,1000.0
45,1.0,0.25,5.0,812.1424006779025,1000.0
46,1.0,0.25,6.0,-1306.1662793684536,1000.0
47,1.0,0.25,7.0,-283.03533187678715,1000.0
48,1.0,0.25,8.0,-1319.6276521512025,1000.0
49,1.0,0.25,9.0,1331.828777687318,1000.0
50,1.0,0.31000000000000005,0.0,1246.3081901115097,1000.0
51,1.0,0.31000000000000005,1.0,791.034323566606,1000.0
52,1.0,0.31000000000000005,2.0,-1413.066908265919,1000.0
53,1.0,0.31000000000000005,3.0,1238.6695452107435,1000.0
54,1.0,0.31000000000000005,4.0,-358.9729619173376,1000.0
55,1.0,0.31000000000000005,5.0,-841.9238187925249,1000.0
56,1.0,0.31000000000000005,6.0,1204.507648156172,1000.0
57,1.0,0.31000000000000005,7.0,788.6041189529578,1000.0
58,1.0,0.31000000000000005,8.0,1174.241940719827,1000.0
59,1.0,0.31000000000000005,9.0,1100.9613370073457,1000.0
60,1.0,0.37000000000000005,0.0,-410.40984357990345,1000.0
61,1.0,0.37000000000000005,1.0,-865.1003488660929,1000.0
62,1.0,0.37000000000000005,2.0,-1418.4216007053856,1000.0
63,1.0,0.37000000000000005,3.0,-890.7841349981971,1000.0
64,1.0,0.37000000000000005,4.0,-1515.6747780631829,1000.0
65,1.0,0.37000000000000005,5.0,-1483.8667639598498,1000.0
66,1.0,0.37000000000000005,6.0,728.9741039084491,1000.0
67,1.0,0.37000000000000005,7.0,-656.3908106949829,1000.0
68,1.0,0.37000000000000005,8.0,-1439.4548670320523,1000.0
69,1.0,0.37000000000000005,9.0,-1269.7926331305791,1000.0
70,1.0,0.43000000000000005,0.0,-1393.196780799531,1000.0
71,1.0,0.43000000000000005,1.0,-64.42779862509732,1000.0
72,1.0,0.43000000000000005,2.0,-660.1525763072729,1000.0
73,1.0,0.43000000000000005,3.0,-1083.3957824694685,1000.0
74,1.0,0.43000000000000005,4.0,-492.4042282956912,1000.0
75,1.0,0.43000000000000005,5.0,-1480.3847231752566,1000.0
76,1.0,0.43000000000000005,6.0,-1193.9174442166684,1000.0
77,1.0,0.43000000000000005,7.0,395.12224839289513,1000.0
78,1.0,0.43000000000000005,8.0,-1460.9421826850337,1000.0
79,1.0,0.43000000000000005,9.0,-1452.9156416177652,1000.0
80,1.0,0.49000000000000005,0.0,-1325.031012874239,1000.0
81,1.0,0.49000000000000005,1.0,-1116.0678271626798,1000.0
82,1.0,0.49000000000000005,2.0,-1060.240186613903,1000.0
83,1.0,0.49000000000000005,3.0,-1401.7580026209732,1000.0
84,1.0,0.49000000000000005,4.0,-1082.3204810016107,1000.0
85,1.0,0.49000000000000005,5.0,-1486.9256778650026,1000.0
86,1.0,0.49000000000000005,6.0,-1026.2968495883792,1000.0
87,1.0,0.49000000000000005,7.0,-1515.46164926291,1000.0
88,1.0,0.49000000000000005,8.0,-1447.615713956821,1000.0
89,1.0,0.49000000000000005,9.0,-1421.4527293838312,1000.0
90,1.0,0.55,0.0,-1245.2415030862846,1000.0
91,1.0,0.55,1.0,-1385.0254629906044,1000.0
92,1.0,0.55,2.0,-882.8395986993276,1000.0
93,1.0,0.55,3.0,-1440.7064988807758,1000.0
94,1.0,0.55,4.0,-944.0749519289715,1000.0
95,1.0,0.55,5.0,-1533.753426278703,1000.0
96,1.0,0.55,6.0,-1151.4049707677389,1000.0
97,1.0,0.55,7.0,-1522.534306033632,1000.0
98,1.0,0.55,8.0,-1514.9183878762892,1000.0
99,1.0,0.55,9.0,-1390.194556309237,1000.0
100,2.0,0.01,0.0,1901.5011278933014,1000.0
101,2.0,0.01,1.0,1900.66270308512,1000.0
102,2.0,0.01,2.0,1918.187364722657,1000.0
103,2.0,0.01,3.0,1914.465423896653,1000.0
104,2.0,0.01,4.0,1920.5061012707342,1000.0
105,2.0,0.01,5.0,1898.2019757971148,1000.0
106,2.0,0.01,6.0,1915.5306990901363,1000.0
107,2.0,0.01,7.0,-1475.368667513485,1000.0
108,2.0,0.01,8.0,1921.9467888687489,1000.0
109,2.0,0.01,9.0,1874.4712116729079,1000.0
110,2.0,0.07,0.0,1878.768514248646,1000.0
111,2.0,0.07,1.0,1797.271205179634,1000.0
112,2.0,0.07,2.0,1786.065663065027,1000.0
113,2.0,0.07,3.0,1909.2110293145918,1000.0
114,2.0,0.07,4.0,1871.3517638866672,1000.0
115,2.0,0.07,5.0,1891.838575786352,1000.0
116,2.0,0.07,6.0,1838.978019461625,1000.0
117,2.0,0.07,7.0,1889.1840104903536,1000.0
118,2.0,0.07,8.0,1892.0549742169458,1000.0
119,2.0,0.07,9.0,1818.1281949787824,1000.0
120,2.0,0.13,0.0,1659.5019261663251,1000.0
121,2.0,0.13,1.0,-1524.9293783986504,1000.0
122,2.0,0.13,2.0,1745.3729023172,1000.0
123,2.0,0.13,3.0,1818.352282030083,1000.0
124,2.0,0.13,4.0,1765.1459690235383,1000.0
125,2.0,0.13,5.0,-1132.0906893515664,1000.0
126,2.0,0.13,6.0,1738.4050469840622,1000.0
127,2.0,0.13,7.0,-1467.9405738610026,1000.0
128,2.0,0.13,8.0,1769.2070793662754,1000.0
129,2.0,0.13,9.0,1806.7378215928377,1000.0
130,2.0,0.19000000000000003,0.0,1520.220339137232,1000.0
131,2.0,0.19000000000000003,1.0,1632.8233183465709,1000.0
132,2.0,0.19000000000000003,2.0,-1138.704677778465,1000.0
133,2.0,0.19000000000000003,3.0,1616.1262574583127,1000.0
134,2.0,0.19000000000000003,4.0,-1417.9347222351403,1000.0
135,2.0,0.19000000000000003,5.0,1640.3948453842295,1000.0
136,2.0,0.19000000000000003,6.0,1524.2467088301107,1000.0
137,2.0,0.19000000000000003,7.0,1562.2335082564032,1000.0
138,2.0,0.19000000000000003,8.0,1616.0139263419637,1000.0
139,2.0,0.19000000000000003,9.0,1422.1663599112865,1000.0
140,2.0,0.25,0.0,1367.2938349176006,1000.0
141,2.0,0.25,1.0,-1506.8415160705947,1000.0
142,2.0,0.25,2.0,915.4235002093828,1000.0
143,2.0,0.25,3.0,-1410.6083543980399,1000.0
144,2.0,0.25,4.0,1331.5891913809817,1000.0
145,2.0,0.25,5.0,812.1424006779025,1000.0
146,2.0,0.25,6.0,-1306.1662793684536,1000.0
147,2.0,0.25,7.0,-283.03533187678715,1000.0
148,2.0,0.25,8.0,-1319.6276521512025,1000.0
149,2.0,0.25,9.0,1331.828777687318,1000.0
150,2.0,0.31000000000000005,0.0,1246.3081901115097,1000.0
151,2.0,0.31000000000000005,1.0,791.034323566606,1000.0
152,2.0,0.31000000000000005,2.0,-1413.066908265919,1000.0
153,2.0,0.31000000000000005,3.0,1238.6695452107435,1000.0
154,2.0,0.31000000000000005,4.0,-358.9729619173376,1000.0
155,2.0,0.31000000000000005,5.0,-841.9238187925249,1000.0
156,2.0,0.31000000000000005,6.0,1204.507648156172,1000.0
157,2.0,0.31000000000000005,7.0,788.6041189529578,1000.0
158,2.0,0.31000000000000005,8.0,1174.241940719827,1000.0
159,2.0,0.31000000000000005,9.0,1100.9613370073457,1000.0
160,2.0,0.37000000000000005,0.0,-410.40984357990345,1000.0
161,2.0,0.37000000000000005,1.0,-865.1003488660929,1000.0
162,2.0,0.37000000000000005,2.0,-1418.4216007053856,1000.0
163,2.0,0.37000000000000005,3.0,-890.7841349981971,1000.0
164,2.0,0.37000000000000005,4.0,-1515.6747780631829,1000.0
165,2.0,0.37000000000000005,5.0,-1483.8667639598498,1000.0
166,2.0,0.37000000000000005,6.0,728.9741039084491,1000.0
167,2.0,0.37000000000000005,7.0,-656.3908106949829,1000.0
168,2.0,0.37000000000000005,8.0,-1439.4548670320523,1000.0
169,2.0,0.37000000000000005,9.0,-1269.7926331305791,1000.0
170,2.0,0.43000000000000005,0.0,-1393.196780799531,1000.0
171,2.0,0.43000000000000005,1.0,-64.42779862509732,1000.0
172,2.0,0.43000000000000005,2.0,-660.1525763072729,1000.0
173,2.0,0.43000000000000005,3.0,-1083.3957824694685,1000.0
174,2.0,0.43000000000000005,4.0,-492.4042282956912,1000.0
175,2.0,0.43000000000000005,5.0,-1480.3847231752566,1000.0
176,2.0,0.43000000000000005,6.0,-1193.9174442166684,1000.0
177,2.0,0.43000000000000005,7.0,395.12224839289513,1000.0
178,2.0,0.43000000000000005,8.0,-1460.9421826850337,1000.0
179,2.0,0.43000000000000005,9.0,-1452.9156416177652,1000.0
180,2.0,0.49000000000000005,0.0,-1325.031012874239,1000.0
181,2.0,0.49000000000000005,1.0,-1116.0678271626798,1000.0
182,2.0,0.49000000000000005,2.0,-1060.240186613903,1000.0
183,2.0,0.49000000000000005,3.0,-1401.7580026209732,1000.0
184,2.0,0.49000000000000005,4.0,-1082.3204810016107,1000.0
185,2.0,0.49000000000000005,5.0,-1486.9256778650026,1000.0
186,2.0,0.49000000000000005,6.0,-1026.2968495883792,1000.0
187,2.0,0.49000000000000005,7.0,-1515.46164926291,1000.0
188,2.0,0.49000000000000005,8.0,-1447.615713956821,1000.0
189,2.0,0.49000000000000005,9.0,-1421.4527293838312,1000.0
190,2.0,0.55,0.0,-1245.2415030862846,1000.0
191,2.0,0.55,1.0,-1385.0254629906044,1000.0
192,2.0,0.55,2.0,-882.8395986993276,1000.0
193,2.0,0.55,3.0,-1440.7064988807758,1000.0
194,2.0,0.55,4.0,-944.0749519289715,1000.0
195,2.0,0.55,5.0,-1533.753426278703,1000.0
196,2.0,0.55,6.0,-1151.4049707677389,1000.0
197,2.0,0.55,7.0,-1522.534306033632,1000.0
198,2.0,0.55,8.0,-1514.9183878762892,1000.0
