,corr_n_steps,noise_level,Trial,Reward,steps_taken
0,1.0,0.01,0.0,183.18477203116086,74.0
1,1.0,0.01,1.0,167.63955219565702,81.0
2,1.0,0.01,2.0,184.35013868544019,76.0
3,1.0,0.01,3.0,186.9274148033754,78.0
4,1.0,0.01,4.0,181.33501391467837,80.0
5,1.0,0.01,5.0,191.08845905949113,82.0
6,1.0,0.01,6.0,4.333334821328106,19.0
7,1.0,0.01,7.0,212.80177093739454,85.0
8,1.0,0.01,8.0,-7.438056987400525,19.0
9,1.0,0.01,9.0,9.300477479022618,20.0
10,1.0,0.07,0.0,171.81830412991542,83.0
11,1.0,0.07,1.0,194.83839868556473,80.0
12,1.0,0.07,2.0,188.72467232102449,80.0
13,1.0,0.07,3.0,182.28941893126682,82.0
14,1.0,0.07,4.0,165.7676005829462,78.0
15,1.0,0.07,5.0,179.9936996294835,79.0
16,1.0,0.07,6.0,3.2144028352111302,19.0
17,1.0,0.07,7.0,115.05554135212988,68.0
18,1.0,0.07,8.0,-11.798867122162685,19.0
19,1.0,0.07,9.0,9.872974121663866,20.0
20,1.0,0.13,0.0,94.6598820411901,78.0
21,1.0,0.13,1.0,173.76068797015878,78.0
22,1.0,0.13,2.0,192.27495198032068,84.0
23,1.0,0.13,3.0,184.65409351608704,80.0
24,1.0,0.13,4.0,188.01929909040692,78.0
25,1.0,0.13,5.0,82.94609401052003,49.0
26,1.0,0.13,6.0,7.744929151961813,19.0
27,1.0,0.13,7.0,94.63041008917749,61.0
28,1.0,0.13,8.0,-15.119069060590396,19.0
29,1.0,0.13,9.0,8.775548471064722,20.0
30,1.0,0.19000000000000003,0.0,136.97552766047636,87.0
31,1.0,0.19000000000000003,1.0,127.28692982794104,84.0
32,1.0,0.19000000000000003,2.0,175.5681891559467,81.0
33,1.0,0.19000000000000003,3.0,180.67752463941943,84.0
34,1.0,0.19000000000000003,4.0,103.01439724032352,54.0
35,1.0,0.19000000000000003,5.0,43.89173162001047,38.0
36,1.0,0.19000000000000003,6.0,10.023105779057888,19.0
37,1.0,0.19000000000000003,7.0,114.77919177366196,66.0
38,1.0,0.19000000000000003,8.0,-18.459250434372244,18.0
39,1.0,0.19000000000000003,9.0,5.109489679679718,20.0
40,1.0,0.25,0.0,109.4183655526666,70.0
41,1.0,0.25,1.0,36.03731909054697,36.0
42,1.0,0.25,2.0,157.67702185563735,75.0
43,1.0,0.25,3.0,109.0884584905955,57.0
44,1.0,0.25,4.0,44.05986227366325,38.0
45,1.0,0.25,5.0,33.347440273919624,36.0
46,1.0,0.25,6.0,10.91441714623858,19.0
47,1.0,0.25,7.0,139.78319064726278,84.0
48,1.0,0.25,8.0,-18.526058268710997,19.0
49,1.0,0.25,9.0,6.159252287300936,20.0
50,1.0,0.31000000000000005,0.0,60.39544438465388,83.0
51,1.0,0.31000000000000005,1.0,155.38632628757722,82.0
52,1.0,0.31000000000000005,2.0,86.68200955689315,55.0
53,1.0,0.31000000000000005,3.0,88.67672946593474,52.0
54,1.0,0.31000000000000005,4.0,28.308379540079915,34.0
55,1.0,0.31000000000000005,5.0,38.50696624609684,36.0
56,1.0,0.31000000000000005,6.0,8.669042827908346,19.0
57,1.0,0.31000000000000005,7.0,41.675950066343034,42.0
58,1.0,0.31000000000000005,8.0,-9.88394705581925,19.0
59,1.0,0.31000000000000005,9.0,6.601435569924183,20.0
60,1.0,0.37000000000000005,0.0,18.943499683697553,40.0
61,1.0,0.37000000000000005,1.0,122.1380174368653,81.0
62,1.0,0.37000000000000005,2.0,93.36579206597764,55.0
63,1.0,0.37000000000000005,3.0,83.72986581444731,53.0
64,1.0,0.37000000000000005,4.0,25.90554224142945,31.0
65,1.0,0.37000000000000005,5.0,27.609738989416744,32.0
66,1.0,0.37000000000000005,6.0,5.932174022694761,19.0
67,1.0,0.37000000000000005,7.0,20.01016688464497,36.0
68,1.0,0.37000000000000005,8.0,-24.284010432628737,20.0
69,1.0,0.37000000000000005,9.0,6.006134156971531,20.0
70,1.0,0.43000000000000005,0.0,1.2759133682358779,33.0
71,1.0,0.43000000000000005,1.0,37.19450821012477,36.0
72,1.0,0.43000000000000005,2.0,34.22933979725557,38.0
73,1.0,0.43000000000000005,3.0,48.24763250848083,43.0
74,1.0,0.43000000000000005,4.0,24.152783197792704,30.0
75,1.0,0.43000000000000005,5.0,29.417387801385445,32.0
76,1.0,0.43000000000000005,6.0,6.296308364776963,18.0
77,1.0,0.43000000000000005,7.0,18.30806887948015,42.0
78,1.0,0.43000000000000005,8.0,-46.36328482284371,20.0
79,1.0,0.43000000000000005,9.0,5.098579813461883,20.0
80,1.0,0.49000000000000005,0.0,18.933726611168087,35.0
81,1.0,0.49000000000000005,1.0,32.71895666742595,36.0
82,1.0,0.49000000000000005,2.0,31.545128022771564,35.0
83,1.0,0.49000000000000005,3.0,42.749285279288735,43.0
84,1.0,0.49000000000000005,4.0,22.33101609877273,29.0
85,1.0,0.49000000000000005,5.0,18.856435503609557,32.0
86,1.0,0.49000000000000005,6.0,2.763522003417518,18.0
87,1.0,0.49000000000000005,7.0,15.044798950259786,42.0
88,1.0,0.49000000000000005,8.0,-23.491460410431102,20.0
89,1.0,0.49000000000000005,9.0,4.658008955067625,20.0
90,1.0,0.55,0.0,2.6517472968006635,31.0
91,1.0,0.55,1.0,33.486490884804475,36.0
92,1.0,0.55,2.0,12.707592029849067,35.0
93,1.0,0.55,3.0,37.09670832440978,41.0
94,1.0,0.55,4.0,21.601438937447046,28.0
95,1.0,0.55,5.0,13.756864270450777,27.0
96,1.0,0.55,6.0,3.633235777893946,18.0
97,1.0,0.55,7.0,8.482194631800654,38.0
98,1.0,0.55,8.0,-42.09347138876798,22.0
99,1.0,0.55,9.0,6.359859548035974,19.0
100,2.0,0.01,0.0,183.30697447721786,74.0
101,2.0,0.01,1.0,167.63955219565702,81.0
102,2.0,0.01,2.0,184.35013868544019,76.0
103,2.0,0.01,3.0,186.9274148033754,78.0
104,2.0,0.01,4.0,181.33501391467837,80.0
105,2.0,0.01,5.0,191.08845905949113,82.0
106,2.0,0.01,6.0,4.333334821328106,19.0
107,2.0,0.01,7.0,212.80177093739454,85.0
108,2.0,0.01,8.0,-7.438056987400525,19.0
109,2.0,0.01,9.0,9.300477479022618,20.0
110,2.0,0.07,0.0,171.81830412991542,83.0
111,2.0,0.07,1.0,194.83839868556473,80.0
112,2.0,0.07,2.0,188.72467232102449,80.0
113,2.0,0.07,3.0,182.28941893126682,82.0
114,2.0,0.07,4.0,165.7676005829462,78.0
115,2.0,0.07,5.0,179.9936996294835,79.0
116,2.0,0.07,6.0,3.2144028352111302,19.0
117,2.0,0.07,7.0,115.05554135212988,68.0
118,2.0,0.07,8.0,-11.798867122162685,19.0
119,2.0,0.07,9.0,9.872974121663866,20.0
120,2.0,0.13,0.0,94.6598820411901,78.0
121,2.0,0.13,1.0,173.76068797015878,78.0
122,2.0,0.13,2.0,192.27495198032068,84.0
123,2.0,0.13,3.0,184.65409351608704,80.0
124,2.0,0.13,4.0,188.01929909040692,78.0
125,2.0,0.13,5.0,82.94609401052003,49.0
126,2.0,0.13,6.0,7.744929151961813,19.0
127,2.0,0.13,7.0,94.63041008917749,61.0
128,2.0,0.13,8.0,-15.119069060590396,19.0
129,2.0,0.13,9.0,8.775548471064722,20.0
130,2.0,0.19000000000000003,0.0,136.97552766047636,87.0
131,2.0,0.19000000000000003,1.0,127.28692982794104,84.0
132,2.0,0.19000000000000003,2.0,175.5681891559467,81.0
133,2.0,0.19000000000000003,3.0,180.67752463941943,84.0
134,2.0,0.19000000000000003,4.0,103.01439724032352,54.0
135,2.0,0.19000000000000003,5.0,43.89173162001047,38.0
136,2.0,0.19000000000000003,6.0,10.023105779057888,19.0
137,2.0,0.19000000000000003,7.0,114.77919177366196,66.0
138,2.0,0.19000000000000003,8.0,-18.459250434372244,18.0
139,2.0,0.19000000000000003,9.0,5.109489679679718,20.0
140,2.0,0.25,0.0,109.4183655526666,70.0
141,2.0,0.25,1.0,36.03731909054697,36.0
142,2.0,0.25,2.0,157.67702185563735,75.0
143,2.0,0.25,3.0,109.0884584905955,57.0
144,2.0,0.25,4.0,44.05986227366325,38.0
145,2.0,0.25,5.0,33.347440273919624,36.0
146,2.0,0.25,6.0,10.91441714623858,19.0
147,2.0,0.25,7.0,139.78319064726278,84.0
148,2.0,0.25,8.0,-18.526058268710997,19.0
149,2.0,0.25,9.0,6.159252287300936,20.0
150,2.0,0.31000000000000005,0.0,60.39544438465388,83.0
151,2.0,0.31000000000000005,1.0,155.38632628757722,82.0
152,2.0,0.31000000000000005,2.0,86.68200955689315,55.0
153,2.0,0.31000000000000005,3.0,88.67672946593474,52.0
154,2.0,0.31000000000000005,4.0,28.308379540079915,34.0
155,2.0,0.31000000000000005,5.0,38.50696624609684,36.0
156,2.0,0.31000000000000005,6.0,8.669042827908346,19.0
157,2.0,0.31000000000000005,7.0,41.675950066343034,42.0
158,2.0,0.31000000000000005,8.0,-9.88394705581925,19.0
159,2.0,0.31000000000000005,9.0,6.601435569924183,20.0
160,2.0,0.37000000000000005,0.0,18.943499683697553,40.0
161,2.0,0.37000000000000005,1.0,122.1380174368653,81.0
162,2.0,0.37000000000000005,2.0,93.36579206597764,55.0
163,2.0,0.37000000000000005,3.0,83.72986581444731,53.0
164,2.0,0.37000000000000005,4.0,25.90554224142945,31.0
165,2.0,0.37000000000000005,5.0,27.609738989416744,32.0
166,2.0,0.37000000000000005,6.0,5.932174022694761,19.0
167,2.0,0.37000000000000005,7.0,20.01016688464497,36.0
168,2.0,0.37000000000000005,8.0,-24.284010432628737,20.0
169,2.0,0.37000000000000005,9.0,6.006134156971531,20.0
170,2.0,0.43000000000000005,0.0,1.2759133682358779,33.0
171,2.0,0.43000000000000005,1.0,37.19450821012477,36.0
172,2.0,0.43000000000000005,2.0,34.22933979725557,38.0
173,2.0,0.43000000000000005,3.0,48.24763250848083,43.0
174,2.0,0.43000000000000005,4.0,24.152783197792704,30.0
175,2.0,0.43000000000000005,5.0,29.417387801385445,32.0
176,2.0,0.43000000000000005,6.0,6.296308364776963,18.0
177,2.0,0.43000000000000005,7.0,18.30806887948015,42.0
178,2.0,0.43000000000000005,8.0,-46.36328482284371,20.0
179,2.0,0.43000000000000005,9.0,5.098579813461883,20.0
180,2.0,0.49000000000000005,0.0,18.933726611168087,35.0
181,2.0,0.49000000000000005,1.0,32.71895666742595,36.0
182,2.0,0.49000000000000005,2.0,31.545128022771564,35.0
183,2.0,0.49000000000000005,3.0,42.749285279288735,43.0
184,2.0,0.49000000000000005,4.0,22.33101609877273,29.0
